model_key,label,group,kind,params_M,params_raw,weights_mb,n_modules,n_targets,targets,native_sr,native_ch,macs_G,flops_G,flops_coverage,peak_vram_mb,peak_vram_infer_mb,latency_s,rtf,load_s,device,notes,status,thop_G,thop_dev_pct,thop_note
oracle,IRM/IBM Oracle,analytic,analytic,0.0,0,,0,,,44100,2,0.0,0.0,no torch ops dispatched (analytic/classical),,0.0,0.0,0.0,0.03,cuda,,PASS,,,no nn.Module (analytic/classical) - thop N/A by construction
rpca,RPCA (Inexact-ALM),analytic,classical,0.0,0,,0,1,vocals,44100,2,0.0,0.0,no torch ops dispatched (analytic/classical),,0.0,82.5301,8.253,0.14,cuda,,PASS,,,no nn.Module (analytic/classical) - thop N/A by construction
umx,Open-Unmix (umxhq),4-stem,deep,35.577,35577488,,1,4,"bass,drums,other,vocals",44100,2,14.292,14.292,torch-dispatch (conv/linear/matmul/norm only),1227.9,1226.0,0.2,0.02,0.33,cuda,,PASS,,,"thop cannot profile this model (ValueError:not enough values to unpack (expected 3, got 2)); FlopCounterMode lower bound stands"
mdx,MDX-Net (mdx_extra),4-stem,deep,334.544,334543632,,1,4,"bass,drums,other,vocals",44100,2,777.218,777.218,torch-dispatch (conv/linear/matmul/norm only),1912.8,1930.9,0.7373,0.0737,2.46,cuda,,PASS,,,thop cannot profile this model (NotImplementedError:Call `apply_model` on this.); FlopCounterMode lower bound stands
convtasnet,Conv-TasNet (musdb18),4-stem,deep,13.395,13394513,,1,4,"bass,drums,other,vocals",44100,2,1171.744,1171.744,torch-dispatch (conv/linear/matmul/norm only),606.6,606.6,1.5221,0.1522,0.2,cuda,,PASS,,,thop cannot profile this model (ValueError:Not support 2 dimension input); FlopCounterMode lower bound stands
mmdenselstm,MMDenseLSTM (musdb18),4-stem,deep,5.487,5487232,,1,4,"bass,drums,other,vocals",44100,2,294.469,294.469,torch-dispatch (conv/linear/matmul/norm only),643.0,643.4,0.3331,0.0333,0.57,cuda,,PASS,,,thop cannot profile this model (AssertionError:input is expected 4D input.); FlopCounterMode lower bound stands
bsroformer_l12,"BS-RoFormer L12 (ep_317, vocals)",1-target,deep,159.758,159758092,,1,1,vocals,44100,2,43480.878,43480.878,torch-dispatch (conv/linear/matmul/norm only),3394.3,3394.3,4.5208,0.4521,2.87,cuda,,PASS,,,thop cannot profile this model (AssertionError:stereo needs to be set to True if passing in audio signal th); FlopCounterMode lower bound stands
bsroformer_l6,"BS-RoFormer L6 (ep_937, vocals+other)",2-target,deep,98.195,98194828,,1,1,other,44100,2,14975.185,14975.185,torch-dispatch (conv/linear/matmul/norm only),2087.4,2087.4,2.1702,0.217,1.93,cuda,,PASS,,,thop cannot profile this model (AssertionError:stereo needs to be set to True if passing in audio signal th); FlopCounterMode lower bound stands
bsrnn,"BSRNN (oBSRNN, vocals)",1-target,deep,40.777,40777192,,1,1,vocals,44100,2,955.494,955.494,torch-dispatch (conv/linear/matmul/norm only),1675.0,1675.0,1.0814,0.1081,3.5,cuda,,PASS,3428.841,258.86,"BSRNN @ 1,C,T; thop=2xMACs  [FLAG: dev>5% -> count coverage differs]"
bsrnn_all,"BSRNN (oBSRNN, 4-stem)",4-stem,deep,164.119,164119072,,4,4,"vocals,drums,bass,other",44100,2,3891.294,3891.294,torch-dispatch (conv/linear/matmul/norm only),2637.4,2637.4,5.7328,0.5733,8.45,cuda,,PASS,4596.885,,"BSRNN @ 1,C,T; thop=2xMACs; AGGREGATED loader (4 nets) -> thop saw 1 net only, deviation NOT comparable"
