song,method,target,SDR,delta_SDR,ISR,SAR,SI_SDR,delta_SI_SDR,runtime_s,note
A Classic Education - NightOwl,Baseline: mixture (no separation),vocals,-9.1630308925236,0.0,24.799561512416656,-9.175675784124945,-10.934023398240756,0.0,0.0,"直接拿混音当估计, 用于标定各方法是否真的有效"
A Classic Education - NightOwl,Baseline: mixture (no separation),drums,-17.933059067316538,0.0,14.899544538901868,-17.9544868321753,-18.01324247438206,0.0,0.0,同上的鼓目标基线
A Classic Education - NightOwl,"ICA (FastICA, best of 2)",vocals,-26.4374225378101,-17.27,-15.685246364101733,-9.287496887992257,-10.995487680569248,-0.06,0.39,盲源分离: 立体声 2ch -> 2 分量
A Classic Education - NightOwl,"NMF (unsupervised, k=50)",vocals,-8.558731930947424,0.6,25.378819343212484,-8.581929493419176,-9.94625667768672,0.99,18.6,"分量按时域稀疏度聚 2 组, 取更间歇者为 vocals"
A Classic Education - NightOwl,NMF (oracle grouping),vocals,-8.558731930947424,0.6,25.378819343212484,-8.581929493419176,-9.94625667768672,0.99,3.96,分组用真值挑选 -> 上界参考
A Classic Education - NightOwl,RPCA (Inexact ALM),vocals,-1.2055552233544238,7.96,7.875778803966714,-4.382375120241374,-6.730622387067657,4.2,155.06,"低秩=伴奏, 稀疏=人声"
A Classic Education - NightOwl,HPSS (percussive),drums,-3.548973503723693,14.38,3.457013324563209,-10.31031960889756,-11.813269279875943,6.2,2.44,"谐波-打击分离, 取打击分量"
A Classic Education - NightOwl,HPSS (harmonic),vocals,-8.33248978581977,0.83,12.46817986945473,-10.752273193186975,-12.370929752591891,-1.44,2.25,取谐波分量当人声 (对照)
A Classic Education - NightOwl,Open-Unmix umxhq (vocals),vocals,6.546077151541583,15.71,13.012201130113885,6.038096178195559,6.712319870367754,17.65,8.88,"预训练深度模型 (CPU 推理, umxhq)"
A Classic Education - NightOwl,Open-Unmix umxhq (drums),drums,1.930178849044104,19.86,2.7700577923090686,1.6807375597527017,-2.547586922332556,15.47,0.05,"预训练深度模型 (CPU 推理, umxhq)"
ANiMAL - Clinic A,Baseline: mixture (no separation),vocals,-2.8596925835347218,0.0,29.50230808516867,-2.800458424321069,-3.0445329538380363,0.0,0.0,"直接拿混音当估计, 用于标定各方法是否真的有效"
ANiMAL - Clinic A,Baseline: mixture (no separation),drums,-9.011610724926564,0.0,22.439817384123245,-9.091177627584335,-8.8012173620698,0.0,0.0,同上的鼓目标基线
ANiMAL - Clinic A,"ICA (FastICA, best of 2)",vocals,-25.793679573110936,-22.93,-20.586431840954713,-2.839440544568432,-3.0794191193715204,-0.03,0.15,盲源分离: 立体声 2ch -> 2 分量
ANiMAL - Clinic A,"NMF (unsupervised, k=50)",vocals,0.7728954950981222,3.63,1.0491741913473398,1.133698656701243,-6.08675353516243,-3.04,2.85,"分量按时域稀疏度聚 2 组, 取更间歇者为 vocals"
ANiMAL - Clinic A,NMF (oracle grouping),vocals,-3.050561239211187,-0.19,11.804746894063008,-3.9695712516589623,-4.620337264507546,-1.58,1.32,分组用真值挑选 -> 上界参考
